"","episode","movie_title","trilogy","track_number","track_name","artist_name","album_name","duration_ms","album_release_year","danceability","energy","speechiness","acousticness","instrumentalness","liveness","valence","tempo","loudness","key_name","mode_name","key_mode"
"1",4,"A New Hope","Original",1,"Main Title","John Williams","Star Wars: A New Hope (Original Motion Picture Soundtrack)",324226,1977,0.243,0.417,0.0392,0.684,0.912,0.13,0.175,99.805,-11.73,"C","major","C major"
"2",4,"A New Hope","Original",2,"Imperial Attack","John Williams","Star Wars: A New Hope (Original Motion Picture Soundtrack)",378320,1977,0.168,0.181,0.0358,0.888,0.888,0.0798,0.0377,81.695,-15.593,"E","major","E major"
"3",4,"A New Hope","Original",3,"Princess Leia's Theme","John Williams","Star Wars: A New Hope (Original Motion Picture Soundtrack)",263226,1977,0.0784,0.0649,0.0425,0.857,0.951,0.0712,0.0308,73.13,-18.985,"F","major","F major"
"4",4,"A New Hope","Original",4,"The Desert and the Robot Auction","John Williams","Star Wars: A New Hope (Original Motion Picture Soundtrack)",172320,1977,0.271,0.0329,0.0372,0.817,0.871,0.0775,0.054,118.569,-24.583,"C#","major","C# major"
"5",4,"A New Hope","Original",5,"Ben's Death and TIE Fighter Attack","John Williams","Star Wars: A New Hope (Original Motion Picture Soundtrack)",233760,1977,0.346,0.322,0.0449,0.759,0.93,0.0931,0.0976,73.897,-13.737,"D","minor","D minor"
"6",4,"A New Hope","Original",6,"The Little People Work","John Williams","Star Wars: A New Hope (Original Motion Picture Soundtrack)",248333,1977,0.449,0.0534,0.0332,0.896,0.518,0.216,0.0584,115.118,-24.646,"G","major","G major"
"7",4,"A New Hope","Original",7,"Rescue of the Princess","John Williams","Star Wars: A New Hope (Original Motion Picture Soundtrack)",287506,1977,0.29,0.361,0.0422,0.798,0.765,0.116,0.139,136.566,-14.791,"E","minor","E minor"
"8",4,"A New Hope","Original",8,"Inner City","John Williams","Star Wars: A New Hope (Original Motion Picture Soundtrack)",254533,1977,0.223,0.0757,0.0366,0.849,0.9,0.13,0.0398,104.036,-18.807,"F","major","F major"
"9",4,"A New Hope","Original",9,"Cantina Band","John Williams","Star Wars: A New Hope (Original Motion Picture Soundtrack)",164306,1977,0.699,0.419,0.134,0.255,0.0239,0.0471,0.822,131.629,-15.133,"C","major","C major"
"10",4,"A New Hope","Original",10,"The Land of the Sand People","John Williams","Star Wars: A New Hope (Original Motion Picture Soundtrack)",175786,1977,0.299,0.173,0.0522,0.898,0.616,0.123,0.0381,148.621,-18.186,"D","minor","D minor"
"11",4,"A New Hope","Original",11,"Mouse Robot and Blasting Off","John Williams","Star Wars: A New Hope (Original Motion Picture Soundtrack)",243880,1977,0.156,0.156,0.038,0.747,0.463,0.172,0.0566,74.83,-17.088,"D","minor","D minor"
"12",4,"A New Hope","Original",12,"The Return Home","John Williams","Star Wars: A New Hope (Original Motion Picture Soundtrack)",171893,1977,0.0933,0.131,0.0384,0.859,0.437,0.0761,0.0345,77.046,-17.31,"C#","major","C# major"
"13",4,"A New Hope","Original",13,"The Walls Converge","John Williams","Star Wars: A New Hope (Original Motion Picture Soundtrack)",276480,1977,0.197,0.108,0.036,0.859,0.749,0.131,0.0751,96.387,-20.444,"D","major","D major"
"14",4,"A New Hope","Original",14,"The Princess Appears","John Williams","Star Wars: A New Hope (Original Motion Picture Soundtrack)",247493,1977,0.185,0.0599,0.0428,0.956,0.872,0.125,0.0393,77.707,-27.514,"G#","major","G# major"
"15",4,"A New Hope","Original",15,"The Last Battle","John Williams","Star Wars: A New Hope (Original Motion Picture Soundtrack)",729160,1977,0.292,0.249,0.036,0.82,0.836,0.36,0.11,136.715,-14.242,"D","minor","D minor"
"16",4,"A New Hope","Original",16,"The Throne Room and End Title","John Williams","Star Wars: A New Hope (Original Motion Picture Soundtrack)",334426,1977,0.297,0.372,0.0331,0.786,0.88,0.0758,0.191,57.633,-11.987,"C","major","C major"
"17",5,"The Empire Strikes Back","Original",1,"Star Wars (Main Theme)","John Williams","Star Wars: The Empire Strikes Back (Original Motion Picture Soundtrack)",346933,1980,0.177,0.295,0.061,0.39,0.591,0.0684,0.0825,83.409,-14.581,"F","major","F major"
"18",5,"The Empire Strikes Back","Original",2,"Yoda's Theme","John Williams","Star Wars: The Empire Strikes Back (Original Motion Picture Soundtrack)",207666,1980,0.184,0.0529,0.0398,0.718,0.839,0.117,0.0463,78.481,-22.879,"C","major","C major"
"19",5,"The Empire Strikes Back","Original",3,"The Training of a Jedi Knight","John Williams","Star Wars: The Empire Strikes Back (Original Motion Picture Soundtrack)",187546,1980,0.235,0.0518,0.0406,0.858,0.821,0.254,0.131,176.718,-28.472,"D","minor","D minor"
"20",5,"The Empire Strikes Back","Original",4,"The Heroics of Luke and Han","John Williams","Star Wars: The Empire Strikes Back (Original Motion Picture Soundtrack)",349786,1980,0.241,0.289,0.04,0.449,0.817,0.158,0.0875,74.176,-17.797,"F","major","F major"
"21",5,"The Empire Strikes Back","Original",5,"The Imperial March (Darth Vader's Theme)","John Williams","Star Wars: The Empire Strikes Back (Original Motion Picture Soundtrack)",179573,1980,0.577,0.379,0.0368,0.753,0.955,0.126,0.284,103.112,-13.82,"G","minor","G minor"
"22",5,"The Empire Strikes Back","Original",6,"Departure of Boba Fett","John Williams","Star Wars: The Empire Strikes Back (Original Motion Picture Soundtrack)",186626,1980,0.212,0.237,0.0423,0.776,0.879,0.0998,0.0393,138.904,-16.59,"D","major","D major"
"23",5,"The Empire Strikes Back","Original",7,"Han Solo and the Princess","John Williams","Star Wars: The Empire Strikes Back (Original Motion Picture Soundtrack)",207426,1980,0.156,0.0229,0.0368,0.391,0.887,0.0946,0.035,81.895,-25.37,"B","minor","B minor"
"24",5,"The Empire Strikes Back","Original",8,"Hyperspace","John Williams","Star Wars: The Empire Strikes Back (Original Motion Picture Soundtrack)",243520,1980,0.312,0.29,0.0543,0.623,0.901,0.0736,0.149,93.401,-20.294,"C","major","C major"
"25",5,"The Empire Strikes Back","Original",9,"The Battle in the Snow","John Williams","Star Wars: The Empire Strikes Back (Original Motion Picture Soundtrack)",222800,1980,0.248,0.547,0.0427,0.536,0.889,0.0941,0.278,87.15,-13.829,"C","major","C major"
"26",5,"The Empire Strikes Back","Original",10,"The Asteroid Field","John Williams","Star Wars: The Empire Strikes Back (Original Motion Picture Soundtrack)",255720,1980,0.31,0.379,0.0391,0.391,0.934,0.067,0.155,84.09,-14.322,"F","major","F major"
"27",5,"The Empire Strikes Back","Original",11,"The City in the Clouds","John Williams","Star Wars: The Empire Strikes Back (Original Motion Picture Soundtrack)",388280,1980,0.101,0.043,0.0414,0.861,0.617,0.504,0.0353,90.097,-22.975,"F","minor","F minor"
"28",5,"The Empire Strikes Back","Original",12,"Rebels at Bay","John Williams","Star Wars: The Empire Strikes Back (Original Motion Picture Soundtrack)",321453,1980,0.292,0.31,0.0362,0.534,0.924,0.112,0.14,75.05,-15.322,"G","major","G major"
"29",5,"The Empire Strikes Back","Original",13,"Yoda and the Force","John Williams","Star Wars: The Empire Strikes Back (Original Motion Picture Soundtrack)",242466,1980,0.161,0.0329,0.0439,0.874,0.784,0.123,0.0368,109.129,-26.827,"G#","major","G# major"
"30",5,"The Empire Strikes Back","Original",14,"The Duel","John Williams","Star Wars: The Empire Strikes Back (Original Motion Picture Soundtrack)",242546,1980,0.156,0.369,0.04,0.798,0.918,0.238,0.0723,79.677,-14.582,"G","major","G major"
"31",5,"The Empire Strikes Back","Original",15,"The Magic Tree","John Williams","Star Wars: The Empire Strikes Back (Original Motion Picture Soundtrack)",213920,1980,0.17,0.114,0.047,0.605,0.852,0.263,0.037,113.874,-22.389,"D#","major","D# major"
"32",5,"The Empire Strikes Back","Original",16,"Lando's Palace","John Williams","Star Wars: The Empire Strikes Back (Original Motion Picture Soundtrack)",232386,1980,0.178,0.0366,0.0413,0.856,0.787,0.124,0.0375,129.282,-24.736,"F","major","F major"
"33",5,"The Empire Strikes Back","Original",17,"Finale","John Williams","Star Wars: The Empire Strikes Back (Original Motion Picture Soundtrack)",383360,1980,0.22,0.263,0.0338,0.559,0.897,0.371,0.122,105.105,-14.081,"C","major","C major"
"34",6,"Return of the Jedi","Original",1,"Main Title (The Story Continues)","John Williams","Star Wars: Return of the Jedi (Original Motion Picture Soundtrack)",310306,1983,0.11,0.233,0.0381,0.628,0.81,0.146,0.0797,75.839,-14.921,"A#","major","A# major"
"35",6,"Return of the Jedi","Original",2,"Into the Trap","John Williams","Star Wars: Return of the Jedi (Original Motion Picture Soundtrack)",157173,1983,0.43,0.363,0.0606,0.827,0.885,0.108,0.225,125.577,-14.172,"G","major","G major"
"36",6,"Return of the Jedi","Original",3,"Luke and Leia","John Williams","Star Wars: Return of the Jedi (Original Motion Picture Soundtrack)",286813,1983,0.17,0.0559,0.0402,0.935,0.784,0.118,0.0348,92.436,-21.059,"A","major","A major"
"37",6,"Return of the Jedi","Original",4,"Parade of the Ewoks","John Williams","Star Wars: Return of the Jedi (Original Motion Picture Soundtrack)",205560,1983,0.451,0.238,0.0425,0.881,0.897,0.109,0.221,118.495,-16.592,"F","major","F major"
"38",6,"Return of the Jedi","Original",5,"Han Solo Returns (At the Court of Jabba the Hutt)","John Williams","Star Wars: Return of the Jedi (Original Motion Picture Soundtrack)",250146,1983,0.12,0.0841,0.0401,0.908,0.512,0.0743,0.036,79.399,-21.961,"D","major","D major"
"39",6,"Return of the Jedi","Original",6,"Lapti Nek (Jabba's Palace Band)","John Williams","Star Wars: Return of the Jedi (Original Motion Picture Soundtrack)",169800,1983,0.842,0.56,0.0826,0.136,0.0863,0.09,0.73,131.306,-14.574,"C","major","C major"
"40",6,"Return of the Jedi","Original",7,"The Forest Battle","John Williams","Star Wars: Return of the Jedi (Original Motion Picture Soundtrack)",242880,1983,0.527,0.484,0.0391,0.83,0.795,0.0956,0.3,79.356,-13.324,"C","minor","C minor"
"41",6,"Return of the Jedi","Original",8,"Rebel Briefing","John Williams","Star Wars: Return of the Jedi (Original Motion Picture Soundtrack)",143080,1983,0.145,0.181,0.0442,0.76,0.656,0.102,0.0329,103.082,-17.833,"C","minor","C minor"
"42",6,"Return of the Jedi","Original",9,"The Emperor","John Williams","Star Wars: Return of the Jedi (Original Motion Picture Soundtrack)",164613,1983,0.139,0.144,0.0372,0.94,0.965,0.114,0.0368,141.973,-16.415,"F#","minor","F# minor"
"43",6,"Return of the Jedi","Original",10,"The Return of the Jedi","John Williams","Star Wars: Return of the Jedi (Original Motion Picture Soundtrack)",303173,1983,0.246,0.428,0.0379,0.824,0.899,0.133,0.135,147.953,-12.771,"G","major","G major"
"44",6,"Return of the Jedi","Original",11,"Ewok Celebration and Finale","John Williams","Star Wars: Return of the Jedi (Original Motion Picture Soundtrack)",481173,1983,0.392,0.395,0.0727,0.792,0.797,0.223,0.325,125.081,-12.99,"C","major","C major"
